1,450 €;50,000 €;60,000 €;70,000 €;80,000 €;90,000 €;100,000 €
1%;500 €;600 €;700 €;800 €;900 €;1,000 €
2%;1,000 €;1,200 €;1,400 €;1,600 €;1,800 €;2,000 €
3%;1,500 €;1,800 €;2,100 €;2,400 €;2,700 €;3,000 €
4%;2,000 €;2,400 €;2,800 €;3,200 €;3,600 €;4,000 €
5%;2,500 €;3,000 €;3,500 €;4,000 €;4,500 €;5,000 €
6%;3,000 €;3,600 €;4,200 €;4,800 €;5,400 €;6,000 €
7%;3,500 €;4,200 €;4,900 €;5,600 €;6,300 €;7,000 €
8%;4,000 €;4,800 €;5,600 €;6,400 €;7,200 €;8,000 €
9%;4,500 €;5,400 €;6,300 €;7,200 €;8,100 €;9,000 €
10%;5,000 €;6,000 €;7,000 €;8,000 €;9,000 €;10,000 €
